1|Pocetak|1
2|Plovidba brodom|1
3|Fisherman's Castle|1
4|prvi|3
5|drugi|3
6|treci|3
7|Katedrala|4
8|Rucak|4
9|Dunavski park|4
10|opopsa|5
11|opo|5
12|wq|5
13|o|6
14|p|6
15|w|6
16|dwq|7
17|dqw|7
18|dwq|7
19|qwe|8
20|wqe|8
21|wqe|8
22|ajde|8
23|ajde|8
24|adje|8
25|-|4
26|-|4
27|-|4
28|we|5
29|qwe|5
30|eqw|5
31|21|6
32|12|6
33|eqw|6
34|ewq|6
35|weq|6
36|wqe|6
37|21|7
38|wqe|7
39|wqe|7
40|q|8
41|q|8
42|q|8
43|wqe|9
44|wqe|9
45|qwe|9
46|wqe|9
47|qwe|10
48|Additional Check Point|10
49|ewq|10
50|Start Point|11
51|Additional Check Point|11
52|End Point|11
53|wqe|12
54|eqw|12
55|eqw|12
56|w|13
57|w|13
58|w|13
59|qwe|14
60|Additional Check Point|14
61|ewq|14
62|prva|15
63|durga|15
64|treca|15
65|poslednji|15
66|e|16
67|e|16
68|e|16
69|Putovanje|17
70|Skijanje|17
71|Povratak|17
72|cetvrti|3
73|peti|3
74|sesti|3
75|Petrovaradinska tvrdjava|4
76|Strand|4
77|Vecera|4
78|Let|5
79|Koloseum|5
80|Brod|5
81|Beograd|6
82|Nis|6
83|Granica|6
84|Strpce|6
85|Stimlje|6
86|Brezovica|6
87|Polazak Beograd|7
88|Granica Kosovo-Srbija|7
89|Brezovica|7
